step,operator,chosen_backend,confidence,reason,prompt_sha256,time
215,UNKNOWN,doubao,0.880,"For the UNKNOWN task category, doubao has the highest meanR (-2091.8) with the most samples, and is optimized for fast code generation/variant exploration suitable for this heuristic bin packing prior",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530404.820
215,UNKNOWN,doubao,0.900,"For this unknown-case online bin packing heuristic task, doubao has the highest historical meanR and 0 failed trials, and is optimized for generating variant algorithms.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530407.624
217,UNKNOWN,doubao,0.850,"In the UNKNOWN historical routing category, doubao has the highest meanR and 0 fail rate, and is optimized for fast code variant generation suitable for this priority function implementation task.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530423.946
218,UNKNOWN,doubao,0.850,"Heuristic program evolution requires generating heuristic variants, which matches doubao's strength for variant generation. Additionally, doubao has the highest meanR and most samples in the UNKNOWN h",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530435.852
218,UNKNOWN,doubao,0.900,"In the unknown operator category, doubao has the highest meanR with 40 successful trials and is optimized for fast heuristic code generation suitable for this bin packing priority function.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530443.985
220,UNKNOWN,doubao,0.900,"Based on unknown routing historical stats, doubao has the highest meanR and most successful trials, and is optimized for heuristic variant generation for this bin packing task.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530459.420
220,UNKNOWN,doubao,0.900,"For the UNKNOWN task category, doubao has the highest mean reward, most successful trials, and is optimized for fast code generation.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530465.095
222,UNKNOWN,doubao,0.900,"Doubao is optimized for fast exploration and heuristic variant generation, and has the highest meanR with zero fails in historical UNKNOWN category trials.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530477.949
222,UNKNOWN,doubao,0.870,"In the UNKNOWN historical routing category, doubao has the highest meanR (best performance) and is optimized for fast code generation and variant exploration, matching this task's needs.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530481.686
224,UNKNOWN,doubao,0.900,"Doubao has the highest meanR and most samples in the unknown task category, with zero failures, ideal for this code generation task.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530502.421
224,UNKNOWN,doubao,0.900,"For unknown heuristic online bin packing priority tasks, doubao has the highest historical meanR (large sample size, no failures) and is optimized for fast generation of algorithm variants, aligning w",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772530503.631
226,E1,doubao,0.900,"Doubao is optimized for fast exploration and generating algorithm variants, matching the task of creating a new priority function different from the provided examples, and has stronger historical perf",314dd3fcf5f2214be19255f8dc68bcae5011956b5d32a680d56f166a637c1fe6,1772530526.217
226,E1,doubao,0.880,"Doubao is optimized for generating algorithm variants, has the highest historical meanR for E1 operator and low fail rate, fitting this task perfectly.",d994a367abf96631b7aa696cc5f7d0b80d92b82177188c177982c67671acb757,1772530528.320
228,E2,qwen,0.900,"Qwen has the highest meanR for the E2 operator and excels at creating novel, motivated code implementations aligned with existing backbone logic.",6add1d7bef2c11b6bf1177bbe1023f90b10069548ff420bb936015c377db3695,1772530561.022
228,E2,qwen,0.850,"Highest meanR among backends for E2 operator, excels at restructuring and generating novel algorithms differing from existing ones as required.",6add1d7bef2c11b6bf1177bbe1023f90b10069548ff420bb936015c377db3695,1772530562.322
230,M1,doubao,0.900,"Doubao is optimized for generating code variants, and has the highest meanR for operator M1.",36f6acca8f9556783f0f4067153d320f8ca071a0892bc7f70faeb80ab4f0ac85,1772530627.637
230,M1,doubao,0.900,"For M1 operator, doubao has higher meanR and 0 failure rate in historical stats, and it excels at generating algorithm variants and writing correct Python code for this task.",cfd587db36f8dbe12af272147bc94fcf2a9c5e4e7ed7775e36a0181c38fa08d7,1772530633.394
232,M2,deepseek,0.900,"Deepseek excels at local Python code edits and refining existing functions, which matches this task of modifying the priority score function, and has strong historical performance for the M2 operator.",38fe1e14e445a61a7617ba5894a8e9e1d0bd5278f6dfa51e0fe795c1e97f0b01,1772530646.187
232,M2,deepseek,0.900,"This task requires modifying an existing Python priority function for the M2 operator, matching deepseek's strength in local code edits and fixes. Deepseek also has the most historical usage data for ",fd702099a10e89a4598f5bc0eb11b79df08d65bf2384792c15ae3b9256c733a6,1772530651.690
234,E1,doubao,0.900,"For E1 operator, doubao has the most historical trials, highest meanR among available backends, and is optimized for generating algorithm variants as required.",f87b1fa5b9660c2163c694c83534b42efb17c953261b5ec6d3c05d9408ea377e,1772530663.621
234,E1,doubao,0.850,"Doubao is optimized for generating algorithm variants, has the highest historical meanR for E1 operator among available backends for this task.",d994a367abf96631b7aa696cc5f7d0b80d92b82177188c177982c67671acb757,1772530671.320
235,E2,doubao,0.900,"For E2 operator, doubao has the highest historical meanR with 0 failures, and is optimized for fast generation of new algorithm variants as required.",1bbe3c1e17f9ef5dd099dd1b2f28e54c850031749aba611d8863c0faa10da96b,1772530692.146
236,E2,doubao,0.880,"Doubao is optimized for low-cost fast exploration and generating algorithm variants, and has the highest meanR with 0 failed runs for the E2 operator in historical routing data.",3e19e70b42b25023af7772a9edbd4b8f7bff2339d9a13c94650b76973c104f6f,1772530708.681
237,M1,deepseek,0.920,"Task requires local code modification of an existing bin packing priority function, aligning with deepseek's strength in code fixes and local edits, and M1 historical stats show deepseek has strong 0-",cfd587db36f8dbe12af272147bc94fcf2a9c5e4e7ed7775e36a0181c38fa08d7,1772530721.520
239,M2,deepseek,0.920,"This task requires a local code edit to modify an existing priority function, which deepseek excels at, and M2 historical routing shows deepseek has better performance than other backends for this ope",ad3c36c3ee1e4c94b4a76504d7bfc4c098866aed60b3aaa37da17b058ac2916f,1772530733.274
239,M1,deepseek,0.900,"This task requires modifying existing Python bin packing priority code, aligning with deepseek's strength in local code edits and debugging, with proven performance on the M1 operator historically.",1c7e4ef60ac6f3682852a260edea4912c6a691451746bd96640e55b28bcfc829,1772530736.919
241,E1,doubao,0.900,"Doubao is optimized for fast generation of algorithm variants, and has the highest historical meanR for E1 operator tasks among the available backends.",e93fcf8eb7cdef59abb0b419dd0cddce3d92846a149b892e4fdf6340efe5ebc0,1772530754.619
241,M2,deepseek,0.900,"This task requires modifying existing Python priority function code, aligning with deepseek's strength in local code edits and fixes, and deepseek has strong historical performance data for the M2 ope",38fe1e14e445a61a7617ba5894a8e9e1d0bd5278f6dfa51e0fe795c1e97f0b01,1772530759.471
243,E1,doubao,0.900,"Doubao is designed for fast exploration and generating algorithm variants, and has a higher meanR for the E1 operator than other backends.",c31166279c960b3e7dff44c43ad7339b842b660cac14621c12d6a7e754b3b0d3,1772530777.030
243,E2,doubao,0.900,"Doubao has the highest historical mean reward and 0 failure rate for E2, and is optimized for generating algorithm variants as requested.",b29742f9a34cfa3f88644bae93655e1de1863ba6facde92650340a3948b359bf,1772530780.291
245,E2,doubao,0.900,"Doubao is optimized for fast exploration and generating variant algorithms, and has the highest meanR and 0 fail rate for E2 operator in historical routing stats.",e0788f44a0e476cb4f8e34a9ff7c1ae360162bda34ae7d22e9399bbab15dc1f7,1772530805.634
245,M1,doubao,0.900,"This task requires generating a modified variant of the existing priority algorithm, which aligns with doubao's strength for fast code variant exploration, and doubao has strong historical performance",187bd250eacd7471f01d9ebe31f16011c90e1180294264583f4a0e0777872f46,1772530809.089
246,M2,deepseek,0.920,"This task requires local code edits to modify the existing priority score function's parameters, which aligns with deepseek's strength in debugging and local code changes, and matches its proven usage",ad3c36c3ee1e4c94b4a76504d7bfc4c098866aed60b3aaa37da17b058ac2916f,1772530829.224
247,E1,doubao,0.900,"Doubao excels at generating novel algorithm variants, has strong historical performance for bin packing priority tasks with high trial volume and low failure rates.",f22fcd63f4d49d2fdaa53396030f61923b662b5c3f6f763854fcde417c550400,1772530855.819
248,M1,deepseek,0.900,"This task requires modifying existing working Python code for the M1 operator, which aligns with deepseek's strengths in local code edits and debugging; M1 historical stats show deepseek has 0 fail ra",1e338bb5ca1cfdf2ff86379fc37c7258f58279b9677bbe2eb687e2a41de1179a,1772530866.099
250,M2,deepseek,0.900,"This task requires targeted local edits to an existing Python bin packing priority function. Deepseek excels at local code fixes and edits, and has strong historical performance on M2 routing tasks re",ed5d40d0c5366eb7437939d095357306d7ce177b3fcd2de02740d5be61536cb9,1772530882.125
250,E2,doubao,0.900,"For E2 operator, doubao has the highest meanR, 0 fail rate, and is optimized for fast exploration and generating algorithm variants matching this task.",2c455824bdb3032abf3e44e7818484e32988c228d91d8278753be7e5e685f5dc,1772530887.027
251,E1,doubao,0.880,"Doubao is optimized for fast generation of heuristic algorithm variants, has strong historical performance for E1 tasks with low failure rate, ideal for creating this new priority function.",39d6f02dae9b233ac844785031b5d0abbddf26a83ef76062f8334f58009a97ca,1772530905.236
253,M1,doubao,0.850,"This task requires generating a modified variant of the existing bin packing priority algorithm, aligning with doubao's strength for fast exploration and variant generation, and M1 historical stats sh",187bd250eacd7471f01d9ebe31f16011c90e1180294264583f4a0e0777872f46,1772530920.994
253,E2,doubao,0.900,"For E2 operator, doubao has the highest mean reward and 0 failure rate among available backends, and is optimized for fast exploration and generating variant algorithms as required for this task.",c4fa136c9525198ce1361ad22219569a5051e5410b5ba99a875362aa9c89aca4,1772530928.516
254,M2,deepseek,0.880,"The task requires a small local edit to the existing numpy-based priority function, which aligns with deepseek's strengths in code fixes and local edits, and it has substantial historical usage for M2",d30b708233c59d871212bd9a31d892b53c0f55546657789aa8f6ca63e061d9d0,1772530950.347
256,M1,deepseek,0.900,"This task requires modifying existing Python bin packing priority code, aligning with deepseek's strength in local code edits and debugging, plus deepseek has strong prior M1 operator performance with",03babf1f50d43bfad3e785b77efa71faf62b5b755ad143dc3b6cd8f7a86005a9,1772530964.521
256,E1,doubao,0.900,"Doubao has the highest meanR for E1 operator, low fail rate, and is optimized for generating new algorithm variants matching this task.",c31166279c960b3e7dff44c43ad7339b842b660cac14621c12d6a7e754b3b0d3,1772530971.718
257,M2,deepseek,0.900,"deepseek is optimal for local code edits/fixes, has the most historical M2 operator task usage and better performance than other backends",029332a66d2b5b15e1d6af174ad1682bd2935cf5efe28824791e91247caa234f,1772530979.181
259,E2,doubao,0.900,"Doubao has the best E2 historical performance (highest meanR, 0 fails) and is optimized for generating variant algorithms and implementing Python code, matching this task's needs.",b284fcc751c77daf92e64c5a9f74f8189fa2a0e5430c1a392d50789e4d707162,1772530998.817
259,E1,doubao,0.900,This task requires generating a novel heuristic algorithm distinct from the three provided examples and implementing the corresponding Python function. Doubao is optimized for fast exploration and gen,3f5ba78b726fa120f0d1860e1c235c39abdad1d4c21426ffb3521478d8425f00,1772531004.456
261,M1,deepseek,0.900,"This task requires local modification of an existing working Python function, which deepseek excels at, and historical M1 routing data shows deepseek has strong, failure-free performance for this oper",c085f9c209cca9611a26a3d68710c124b3236a70140e2a31a354a5ce5389f04b,1772531027.018
261,E2,doubao,0.900,"Doubao has the highest meanR and 0 failure rate for E2 operator, and is optimized for generating algorithm variants.",6b4011afa3482d6baea8b9e1922a96f25948b69c6b0c53af2778b928222cfbb1,1772531033.075
262,M2,deepseek,0.900,"Deepseek excels at local code edits and has the highest historical meanR for M2 operator among available backends, ideal for modifying the priority score function.",ad3c36c3ee1e4c94b4a76504d7bfc4c098866aed60b3aaa37da17b058ac2916f,1772531046.678
264,E1,doubao,0.900,"Doubao is optimized for generating algorithm variants, has the most historical usage and highest meanR for E1 operator, making it the best fit for creating a new priority algorithm different from the ",4d050a16ae22d459fa5ed821f781cd8038f18e354bb52b3a477d9b90d1feb80a,1772531065.725
264,M1,doubao,0.930,"For M1 operator, doubao has a higher meanR than other backends, and is optimized for fast generation of algorithm variants and corresponding code with high success rate.",941ef713536100ef5f36ef6106dd14cfbbba976a75e7d54e37dac9ae25163dd2,1772531074.366
265,E2,doubao,0.950,"For E2 operator, doubao has the highest mean reward and 0 failure rate in historical routing stats, making it the most reliable for this code generation task.",ee64fef61c9815bcb9fedca2913cd1ce7aa1de5b9534127cef6d365c50317db2,1772531096.117
