step,operator,backend,backend_label,confidence,reason,policy_version,ok,score,reward,signals_json,prompt_sha256,time
113,UNKNOWN,deepseek,A,0.850,"Operator is UNKNOWN, markers=4 (granting A a marker signal bonus for low marker counts), fix_score=0 and explore_score=0 with no active error signals, aligning with A's strengths in local code generat",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772698890.011
113,UNKNOWN,deepseek,A,0.900,"Operator is UNKNOWN, markers=4 (small code block count suitable for local edits, granting A a marker bonus), explore_score=0 (no exploratory requirements, avoiding unstable backend C), and code_densit",30,True,-2092.800000,3907.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772698907.525
115,UNKNOWN,deepseek,A,0.850,"Operator is UNKNOWN, markers=4 (less than 5, granting A a marker signal bonus), code density=0.16, fix_score=0 and explore_score=0 with no active error flags",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772698934.625
116,UNKNOWN,deepseek,A,0.900,"Operator is UNKNOWN, markers=4 and code_density=0.16, fix_score=0 and explore_score=0; selected due to A's strengths in local code edits, high reliability, and risk-aware preference for more reliable ",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772698962.328
117,UNKNOWN,deepseek,A,0.850,"Operator is UNKNOWN, n_chars=630, markers=4 and code_density=0.16, fix_score=0 and explore_score=0, with A being the most reliable backend aligned to local code generation tasks per the routing policy",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772698984.740
118,UNKNOWN,doubao,C,0.300,Operator is UNKNOWN so prior performance statistics are prioritized; markers count is 4 which falls under <5 granting a minor bonus to A; code density is 0.16 which is below 0.3 granting a density bon,30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772699034.908
118,UNKNOWN,deepseek,A,0.900,"Operator is UNKNOWN, n_chars=630 and markers=4 with code_density=0.16, fix_score=0 and explore_score=0, selecting high-reliability backend A per routing policy",30,True,-5000.000000,1000.000000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772699040.381
120,UNKNOWN,doubao,C,0.200,"Operator is UNKNOWN, markers count is 4, explore_score is 0. Prior stats for the UNKNOWN operator show C has the highest mean score with zero fail counts, and the cost bonus applies for C. No error co",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772699097.969
120,UNKNOWN,doubao,C,0.200,"Operator is UNKNOWN, markers=4, n_chars=630, code_density=0.16 (length, marker, and density signals), fix_score=0 and explore_score=0, with prior stats showing highest mean performance for backend C a",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772699111.046
122,UNKNOWN,deepseek,A,0.850,"Operator is UNKNOWN so prior statistics are prioritized; markers=4 (<5) awards A a +50 marker bonus; code_density=0.16 (<0.3) would normally reward B, but the task requires local code edits matching A",30,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772699157.406
