step,operator,chosen_backend,confidence,reason,prompt_sha256,time
110,UNKNOWN,deepseek,0.900,"Deepseek has the strongest historical performance for code generation tasks related to bin packing heuristics, with zero fails in the UNKNOWN operator category and is well-suited for writing correct n",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642093.045
110,UNKNOWN,deepseek,0.900,"Deepseek has the highest historical meanR scores across matching code-generation tasks for bin packing heuristics, and excels at producing correct Python code for this kind of function.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642093.998
112,UNKNOWN,deepseek,0.900,"Deepseek has the strongest historical performance for this unknown bin packing code generation task, with zero failures and highest meanR among available backends, and is well-suited for producing cor",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642117.647
112,UNKNOWN,deepseek,0.900,"Deepseek has the strongest historical performance for code-related algorithmic tasks, excels at writing correct Python numerical functions, and has the most successful trial history for similar bin pa",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642122.283
114,UNKNOWN,deepseek,0.900,"Deepseek has the strongest historical performance for code generation tasks related to bin packing heuristics, with robust code capabilities suited for implementing this priority function correctly.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642143.750
114,UNKNOWN,deepseek,0.900,"deepseek excels at Python code generation and local edits, and has the strongest historical performance for similar bin packing coding tasks.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642147.615
115,UNKNOWN,deepseek,0.900,"deepseek has the strongest historical performance in the unknown operator category with 25 successful runs and no failures, ideal for accurate code implementation.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642170.583
116,UNKNOWN,deepseek,0.950,"Deepseek excels at code generation and local edits, and has the strongest historical performance with 26 successful runs and 0 failures for similar code-focused tasks under the matching UNKNOWN catego",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642183.667
117,UNKNOWN,deepseek,0.930,"Deepseek has strong code generation and local editing capabilities, with proven strong performance (0 failures, 27 samples) in the UNKNOWN code generation category matching this task.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642192.591
119,UNKNOWN,deepseek,0.850,"Deepseek has the most historical usage and strongest performance stats for similar code generation/bin packing tasks, and is well-suited for implementing correct, high-quality Python functions as requ",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642212.959
119,UNKNOWN,deepseek,0.900,"Deepseek excels at code generation and local edits, and has the strongest historical performance on similar unknown code-related tasks compared to the other available backends.",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642217.069
120,UNKNOWN,deepseek,0.900,Deepseek has the strongest historical performance for UNKNOWN bin packing code tasks and excels at generating correct Python code for this type of function.,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772642243.774
122,E1,deepseek,0.950,"For E1 operator task, deepseek has the most historical running data and optimal mean reward, and is well-suited for Python code generation work.",c1452064331d1f0d0a9a3623c2f0339e58586bf7e9c8b5c82856a6bd386971e9,1772642267.368
122,E1,deepseek,0.900,Deepseek has the strongest historical performance for operator E1 and excels at generating correct Python code for this task.,ff8a423352c7dbddd6ed71a0c0b10eb5250f6586eff291a7b08fb15b60efdca6,1772642268.760
124,E2,deepseek,0.880,"Deepseek has the most extensive historical E2 task routing data, strong code generation capabilities for numpy-based functions, and is optimal for producing correct, high-quality priority implementati",1b39c4b14d85ff84791b807a104a092735880795413a56488c9d26dcde8a4456,1772642294.795
124,E2,deepseek,0.900,deepseek has the strongest historical performance for E2 operator and excels at code generation/debugging for numpy-based tasks matching this request.,f4d8be917d738592970413e577e703d711a05c54261a6e8182c7bf5b58d73bdb,1772642295.105
126,M1,deepseek,0.900,"Strong for local code edits on existing priority functions, with top M1 historical performance (zero failures, highest meanR).",c54a0237bc8c6130db2744b96e8bc5a61b800810da25e6de7effc5449aea0f93,1772642315.671
126,M1,deepseek,0.950,Task requires modifying existing Python code for the M1 operator; deepseek excels at local code edits and has the strongest historical performance for M1 with zero failed runs.,6221d20837374965d2e138f89f732ed766e7d88b3485981f7bb7275580949c39,1772642317.884
127,M2,deepseek,0.900,"Deepseek excels at local code edits and fixes, matches the task of modifying the existing priority score function for the M2 operator, and has the most historical usage for M2 tasks.",e63c1667f71b8711b7bb403c0b4d8212e5e7659384c1816d5e77ac47f2ee1363,1772642335.146
128,M2,deepseek,0.950,"This task requires modifying an existing Python priority function for M2 heuristic program evolution. Deepseek specializes in code fixes and local edits, and has the most relevant historical usage dat",fbe8b0c90ce9e4279cb71dbcbbd745cd89a48b9567597ad65842e07699097230,1772642342.315
130,E1,deepseek,0.900,"Deepseek has the highest meanR for E1 operator among tested backends, and excels at generating correct numpy-based code for this bin packing priority task.",dcbd38ab3b049b7d8a40d3d6b328da1791e2f307fc9b85146a1eb2d63ee2a967,1772642359.013
130,E1,deepseek,0.920,"For E1 operator, deepseek has the strongest historical performance (highest meanR, most trials) among available backends, ideal for this code generation task.",84f02180a4337397cf75e52b1f7362fb0a85e21cf911bd5a0f0e342b65c0e325,1772642363.243
132,E2,deepseek,0.880,"For the E2 operator, deepseek has the strongest historical performance with the highest meanR among available backends, and excels at generating correct Python code for bin packing priority functions.",f4d8be917d738592970413e577e703d711a05c54261a6e8182c7bf5b58d73bdb,1772642378.241
132,E2,deepseek,0.900,"For E2 operator, deepseek has the strongest historical performance (highest meanR, most trials) and is well-suited for writing correct numpy-based priority functions as requested.",f4d8be917d738592970413e577e703d711a05c54261a6e8182c7bf5b58d73bdb,1772642388.466
133,M1,deepseek,0.900,"Deepseek excels at local code edits and fixes, which matches modifying the existing priority function, and has strong failure-free historical performance on the M1 operator.",c268f900ff5aa65201eefc85aa04e8a56805db906ce6d09c290266ab5c28fe89,1772642401.900
134,M1,deepseek,0.950,"This task requires modifying existing working Python code for a local algorithm adjustment, which aligns with deepseek's strengths in code fixes and local edits, and deepseek has strong historical per",c268f900ff5aa65201eefc85aa04e8a56805db906ce6d09c290266ab5c28fe89,1772642408.410
135,M2,deepseek,0.900,Deepseek is optimal for local code edits and has the most historical usage for the M2 operator's code generation task.,e63c1667f71b8711b7bb403c0b4d8212e5e7659384c1816d5e77ac47f2ee1363,1772642424.387
136,M2,deepseek,0.900,"Task requires local modification of an existing priority score function, which deepseek is optimized for, and deepseek has proven performance on M2 operator tasks.",4ba953cbba1a75e11d252373ed387703b1c43f718899697f9652a724b4e6e33f,1772642430.811
137,E1,deepseek,0.920,"For E1 operator, deepseek has the most historical successful runs with the highest mean reward, and is optimized for generating correct, high-quality Python code for this bin packing priority function",c1452064331d1f0d0a9a3623c2f0339e58586bf7e9c8b5c82856a6bd386971e9,1772642439.741
138,E1,deepseek,0.900,"Deepseek has the highest historical meanR for E1 operator tasks, with proven code generation quality, outperforming doubao, and qwen has no available E1 usage data.",68f0b624efdf71a157224c397d2a71269ad835e8cb683b680c168c43dd3c0ddc,1772642451.815
140,E2,deepseek,0.850,"Deepseek has the most historical trials and highest mean reward for the E2 operator, making it the most reliable for generating correct high-quality code for this task.",6d0dcf9dae2155c8aaf3ea81416c0bd8534c5230dafa1b448ebc744845f6e424,1772642469.955
140,E2,deepseek,0.850,"Deepseek has the most historical performance data for the E2 operator, excels at code generation and structured algorithmic tasks, making it optimal for this request.",5bf9184d3e9743b8b15695283af078212583cd4c40ba352b2d13c1f44907ed3b,1772642476.205
141,M1,deepseek,0.920,"Deepseek excels at local code edits/fixes, and has strong historical success with M1 tasks (0 failed runs, best mean performance).",c268f900ff5aa65201eefc85aa04e8a56805db906ce6d09c290266ab5c28fe89,1772642488.472
142,M1,deepseek,0.950,"Deepseek excels at local code edits and debugging, and has the strongest historical performance for M1 operator tasks with 0 failed attempts across 15 uses.",c268f900ff5aa65201eefc85aa04e8a56805db906ce6d09c290266ab5c28fe89,1772642494.806
144,M2,deepseek,0.920,"This task requires a targeted local edit to an existing Python priority function, aligning with deepseek's strengths in code fixes and local adjustments, and it has strong historical performance for M",4ba953cbba1a75e11d252373ed387703b1c43f718899697f9652a724b4e6e33f,1772642513.542
144,M2,deepseek,0.900,"Deepseek excels at code debugging and local edits, and has the most prior successful usage for the M2 bin packing priority function task.",fbe8b0c90ce9e4279cb71dbcbbd745cd89a48b9567597ad65842e07699097230,1772642517.368
145,E1,deepseek,0.900,"For the E1 operator, deepseek has the most historical successful runs with the highest meanR among available backends, and excels at code generation for this bin packing priority task.",bc9d8fe74bfc44ae49c4ae270472fecb85589750b67fe0c2a6ddf57bbb3f88f6,1772642532.281
146,E1,deepseek,0.900,"Deepseek has the strongest historical performance for E1 code generation tasks, excelling at numpy-based bin packing priority function implementation.",4dfe61b99abdd2bba35be628f9fd10b31e0d388baf406608bd5f5cea2a09fcfb,1772642539.243
148,E2,deepseek,0.900,"Deepseek has the strongest historical performance for operator E2 and excels at writing/modifying Python code based on existing examples, matching this task's requirements.",7f1e6a7ca0eae8b8382f7cc33e3bdfa9d67a4d30ac3a29ad6e2cc0b9d072bbdd,1772642556.816
148,E2,deepseek,0.870,"Deepseek has the most historical E2 task data, strongest performance for bin packing code generation, and excels at writing correct Python heuristic functions matching the required pattern.",f4d8be917d738592970413e577e703d711a05c54261a6e8182c7bf5b58d73bdb,1772642563.453
149,M1,deepseek,0.950,"This task requires a local code edit of an existing priority function, and deepseek has the strongest historical performance for the M1 operator with 0 failed runs and better meanR than other backends",6221d20837374965d2e138f89f732ed766e7d88b3485981f7bb7275580949c39,1772642568.942
151,M1,deepseek,0.950,"For the M1 operator task of modifying an existing Python priority function, deepseek has the strongest historical performance (17 successful M1 runs with 0 failures) and excels at local code edits and",0177abb9cfea0be53cce772aa22eb52e8e763f918dc2d1b10ff73b2240b2a63e,1772642582.307
151,E1,deepseek,0.900,Deepseek has the strongest historical performance for the E1 operator and excels at code generation/editing tasks matching this request.,c9e0b7dcb1dae24810486b82d3265be5de9151a74071de6e62e1f5acb755e3c0,1772642590.612
153,E1,deepseek,0.950,"Deepseek has the strongest historical performance for E1 operator, with high success rate, and excels at generating correct Python code for bin packing priority functions as required.",4c19ed65c0f1b6a90d22cf751dac53577b5edbb3258a458f673f631af0696449,1772642604.627
153,E2,deepseek,0.850,"Deepseek has the strongest historical performance for the E2 operator, with the highest mean reward and proven capability to generate correct numerical Python code for bin packing priority functions.",395f90c75c382664e9767a2297892efb94cb46769a0a9c46b38469c33dca65f6,1772642618.342
154,E2,deepseek,0.880,"Deepseek has the strongest historical performance for E2 operator tasks, excels at generating correct numpy-based code for bin packing priority functions, and is well-suited to implement the derived n",1e926742b4a54172e28d390087a8b1bd636b13b953fc7ef2f874c6a6c54b507c,1772642631.195
155,M1,deepseek,0.950,"This task requires modifying existing Python code for a local code edit, which deepseek excels at, and historical M1 routing data shows deepseek has strong, failure-free performance for this use case.",c268f900ff5aa65201eefc85aa04e8a56805db906ce6d09c290266ab5c28fe89,1772642640.285
156,M1,deepseek,0.900,Task requires modifying existing Python code for the M1 operator; deepseek has strong local edit capabilities and best historical M1 performance with 0 failed runs.,fa1a30d5b4dea30cf2042e322860875ce39408402deb72c8b76bb4d385ccb8b8,1772642650.457
158,M2,deepseek,0.950,"This task requires local modification of existing Python code for the M2 operator, which matches deepseek's strength in code fixes and local edits, and deepseek has prior successful usage for M2.",d231eca85e22d00fecff480b00fe303de34f6b88760d1926994d96811c4923f3,1772642667.740
158,M2,deepseek,0.900,"This task involves modifying an existing Python priority function with adjusted score parameters, aligning with deepseek's strengths in local code edits and debugging, and deepseek has prior usage dat",891d348cacd869a00ddfc9b2df32e2f3e377c42595a54a01615b2dee4240fe83,1772642676.051
