step,operator,backend,confidence,reason,ok,score,reward,policy_version,prompt_sha256,time
54,UNKNOWN,doubao,0.950,"The task involves generating a new Python function, which falls under exploration/variant generation, and no other routing conditions apply.",True,-2091.800000,3908.200000,28,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647458.758
54,UNKNOWN,doubao,0.990,"The task is generating a new Python function implementation, which falls under exploration/variant generation (E1) per the routing policy.",True,-2091.800000,3908.200000,28,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647460.938
55,UNKNOWN,doubao,0.980,"The prompt is a standard code generation task with no explicit errors or tracebacks, aligning with the default routing policy that selects doubao.",True,-2091.800000,3908.200000,29,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647492.935
57,UNKNOWN,doubao,0.900,"Operator is unknown, prompt has no error traces or excessive length, falling back to the default routing policy for fast code generation.",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647515.149
57,UNKNOWN,doubao,0.900,"Operator is unknown, no traceback/exception or long dense code in prompt, so follow default routing policy to choose doubao",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647517.274
59,UNKNOWN,doubao,0.900,"Prompt contains no errors, is not lengthy, so default to doubao for fast exploration",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647544.347
59,UNKNOWN,doubao,0.950,"Task is generating a new code implementation for a bin packing priority function, which falls under exploration/variant generation per routing policy.",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647545.794
61,UNKNOWN,doubao,0.950,"Task involves generating a new Python function and algorithm description, which falls under exploration/variant generation, and no conflicting routing conditions apply.",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647565.288
61,UNKNOWN,doubao,0.920,"Operator is unknown, prompt contains no errors or tracebacks, prompt length is under 500 tokens, so default to doubao per Routing Policy v30",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647574.532
62,UNKNOWN,doubao,0.950,"The request is new code generation without errors, long context, or restructuring, falling into the default else case of the routing policy.",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772647590.497
