step,operator,backend,confidence,reason,ok,score,reward,policy_version,prompt_sha256,time
161,UNKNOWN,deepseek,0.930,"The request requires implementing a Python function with no explicit error, long context, or exploration/restructuring needs, so it follows the default routing policy to select deepseek.",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567292.204
161,UNKNOWN,deepseek,0.950,"Task requires implementing a new Python function, no explicit error, exploration, or global restructuring, so defaulting per routing policy.",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567295.129
163,UNKNOWN,deepseek,0.950,"Operator is unknown, no error/long code context, and no exploration/restructure/edit tasks specified, defaulting to deepseek per routing policy v30",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567310.370
163,UNKNOWN,deepseek,0.900,"Prompt requests code implementation with no explicit exploration, restructuring, or error; follows default routing policy.",True,-2092.800000,3907.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567312.415
165,UNKNOWN,deepseek,0.900,"Unknown operator, no explicit error or long-context needs, defaulting to deepseek per Routing Policy v30",True,-2092.800000,3907.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567329.280
165,UNKNOWN,deepseek,0.900,"No specific operator category applies, no errors/long context/exploration requirements, defaulting to deepseek per Routing Policy v30",True,-2092.800000,3907.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567335.922
166,UNKNOWN,deepseek,0.970,"Prompt requires implementing a Python function with algorithm description, no special routing conditions apply so default to deepseek per policy",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567345.023
167,UNKNOWN,deepseek,0.850,"Request is to implement a new Python function with no explicit errors, falling back to the default routing policy",True,-2091.800000,3908.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567352.853
168,UNKNOWN,deepseek,0.950,"Task is code generation for a new Python function with no explicit error, restructuring, or variant generation needs, following the default routing policy",True,-2092.800000,3907.200000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567364.701
169,UNKNOWN,deepseek,0.950,"Operator is unknown, prompt does not match E1/E2/M1/M2 specific rules, falls into the otherwise routing policy clause, so choose deepseek",True,-2122.200000,3877.800000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567373.308
170,UNKNOWN,deepseek,0.950,"The task requires implementing a Python function with no exploration, restructuring, or error handling requirements, so following the default routing policy to select deepseek.",True,-5000.000000,1000.000000,30,07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772567379.685
172,E1,doubao,0.980,Operator is E1 (exploration/variant generation) matching routing policy,True,-2648.200000,3351.800000,30,bce4f17b8a2643b3d6e9f3be47fd0aadd9450b30cc21032f1cab2749c9b95e55,1772567407.128
172,E1,doubao,0.950,"The operator is E1, which is exploration/variant generation, aligning with the routing policy to select doubao.",True,-5000.000000,1000.000000,30,2fdaa03f728cdf66aebfed4d3bc16cc608c563496e8aa27f13d2b43cb680e3ef,1772567411.365
173,E2,qwen,0.980,"The task falls under E2 (global restructure) operator, which matches the routing policy to select qwen for global rewrite and restructuring work.",True,-2090.000000,3910.000000,30,d9291481575e043b9dcbf788c85d809e76ebd8c4f6d9d76aca8af7b79c7d6204,1772567460.529
174,E2,qwen,0.990,"Operator is E2 (global restructure) per the routing policy, which requires selecting qwen for this task type.",True,-2091.800000,3908.200000,30,9b7a62a4b2d484db9390112be90aa2ee3ace1043d9dd02f8718670d925a59e05,1772567466.550
175,M1,deepseek,0.980,"Operator is M1 (local mutation/edit) which aligns with the routing policy for selecting deepseek, and the task involves modifying existing code via local edits.",True,-2091.800000,3908.200000,30,15dadb4140ad64077fcc2a5912d8351eee7399b00cf28fc24fc91901536aecf7,1772567472.653
176,M1,deepseek,0.980,Operator is M1 (local mutation/edit) which matches the routing policy rule to select deepseek for M1/M2 operations,True,-3328.200000,2671.800000,30,ae211e4fd5dc41a2163e479362c26171e0136f1750d9d061c417f7398ebfee59,1772567481.462
177,M2,deepseek,0.980,"Operator is M2 (local mutation/edit) per the routing policy, task involves modifying existing priority function code",True,-2091.800000,3908.200000,30,b14d02aa9212c2aef8e1bad1a225e46afccf9dd014ca882f5d831d662208a9ec,1772567489.764
178,M2,deepseek,0.990,"Operator is M2, a local mutation/edit task aligned with the routing policy for deepseek.",True,-5000.000000,1000.000000,30,a90d296bed83dc0c62c5ec6a7913c942955decb861bee60f72948b7ec7e26129,1772567495.811
179,E1,doubao,0.980,The operator is E1 (exploration/variant generation) which aligns with the routing policy to select doubao.,True,-2095.400000,3904.600000,30,7fb405b8c1f81835050018a10c595aeff184eabc262ab7b93d24102690197a46,1772567511.444
180,E1,doubao,0.980,"The operator is E1, which falls under exploration/variant generation per the routing policy.",True,-2733.200000,3266.800000,30,3831024e4dfab2dcb4d4e4373a64a180d4bb0104b665f98b251b5b4d885a5c0f,1772567516.263
181,E2,qwen,0.980,"Operator is E2 (global restructure), which matches qwen's strength in global rewrites and long-context handling of the provided existing codebase.",True,-5000.000000,1000.000000,30,856894bd1e5fa1764922cf08a323b9141657f16696824739f2b412eadad4f7f5,1772567567.542
182,E2,qwen,0.980,"The operator is E2 which requires global restructure, and the task involves creating a novel derived algorithm from existing code implementations, fitting qwen's strengths in restructuring and long-co",True,-5000.000000,1000.000000,30,ef298ae8232098b9d6edd4e9ee37507d6baf811d49ad08c9d0a010f84460a9ee,1772567570.072
184,M1,deepseek,0.990,Operator is M1 (local mutation/edit) which aligns with routing policy to select deepseek for local code edits,True,-2096.800000,3903.200000,30,e37a35c2df5548710436d13d4837f206574a41085590d05864c6e3bc43a873c5,1772567582.454
184,M1,deepseek,0.980,"Operator is M1 (local mutation/edit), which aligns with the routing policy selecting deepseek for local edits.",True,-3328.200000,2671.800000,30,ae211e4fd5dc41a2163e479362c26171e0136f1750d9d061c417f7398ebfee59,1772567583.287
186,M2,deepseek,0.960,"Operator is M2 (local mutation/edit), which aligns with routing policy selecting deepseek for local edits/patching",True,-5000.000000,1000.000000,30,156199e2ff3101341ac42b5a37158a6c6bfe708dfcaa8e3b9b2f3b8c395ab7de,1772567594.788
186,M2,deepseek,0.990,"Operator is M2, a local mutation/edit, matching the routing policy for choosing deepseek.",True,-5000.000000,1000.000000,30,d7d63b42fbc147baf33b117d7a5fcae3773699b08af451d4049b512399201760,1772567597.144
188,E1,doubao,0.980,"The operator is E1, which is exploration/variant generation matching the routing policy to select doubao.",True,-2116.600000,3883.400000,30,bfab295e0b800e38a13f853fcae17d5ce2f121e2febfb75e326a5eaf9a343d51,1772567622.368
188,E1,doubao,0.950,Operator is E1 (exploration/variant generation) which aligns with the routing policy to select doubao.,True,-2091.800000,3908.200000,30,2fdaa03f728cdf66aebfed4d3bc16cc608c563496e8aa27f13d2b43cb680e3ef,1772567626.181
189,E2,qwen,0.970,"The current operator is E2 (global restructure) as specified, so qwen is selected per Routing Policy v30.",True,-2113.600000,3886.400000,30,cca0ac5417b6952dd35b55689f2cc2399cfcb93f675c2253d1ebc74386b53334,1772567674.945
190,E2,qwen,0.970,"The operator is E2 which is global restructure, matching the routing policy that selects qwen for E2.",True,-2648.200000,3351.800000,30,c3fc77ef30a0ba5026e1fa349ef299831f45e440c662c6b385374028534c6434,1772567680.586
191,M1,deepseek,0.990,"Operator is M1, which falls under local mutation/edit per the routing policy, so deepseek is selected.",True,-3328.200000,2671.800000,30,ae211e4fd5dc41a2163e479362c26171e0136f1750d9d061c417f7398ebfee59,1772567691.196
192,M1,deepseek,0.980,Operator is M1 (local mutation/edit) per the routing policy,True,-3328.200000,2671.800000,30,ae211e4fd5dc41a2163e479362c26171e0136f1750d9d061c417f7398ebfee59,1772567692.946
194,M2,deepseek,0.950,"Operator is M2 (local mutation/edit) per the routing policy, task involves modifying existing code's score function parameters",True,-2100.000000,3900.000000,30,ffa139cdef4c8622f733f21859612010b17eba332f5ceeb4abcda00af3be021a,1772567706.858
194,M2,deepseek,0.980,"Operator is M2, a local mutation/edit per the routing policy, task involves modifying existing priority function code",True,-5000.000000,1000.000000,30,a90d296bed83dc0c62c5ec6a7913c942955decb861bee60f72948b7ec7e26129,1772567707.013
196,E1,doubao,0.980,"The operator is E1 (exploration/variant generation), which aligns with the routing policy to select doubao for low-cost fast exploration of new algorithm variants.",True,-2651.400000,3348.600000,30,b2e94be32d90827d587f4ff436b7ea1f3479939cc29c32a766a615bf4623c880,1772567724.501
196,E1,doubao,0.950,"Operator is E1, which is exploration/variant generation per the routing policy",True,-2113.200000,3886.800000,30,0117b2c4b4d516fc4be5abfb69796a9c29e53c7223e786ef63c1ccdcccec94ab,1772567731.697
197,E2,qwen,0.970,"Operator is E2 (global restructure), which aligns with qwen's strengths in global rewrites and long-context handling of the provided multi-algorithm codebase.",True,-2091.800000,3908.200000,30,0552fc0dd5a9c386f91a2c224d2091976b14f9992fb85bbb153bf68719d9b3a3,1772567776.888
198,E2,qwen,0.970,"The task falls under operator E2 (global restructure), which aligns with qwen's strength in global rewrites and long-context handling.",True,-3734.800000,2265.200000,30,df115aadc33f4aa59a457c92a84148b08f7d5defa15eb50713973cfc546fda2d,1772567786.846
199,M1,deepseek,0.980,"The current operator is M1, a local mutation/edit task, which aligns with the routing policy selecting deepseek for M1/M2 operations.",True,-2122.200000,3877.800000,30,7f1894c33f58f8bec6daa012f43e1dfd0926f8220f35b6f3283b9f3b8ca830f3,1772567792.975
200,M1,deepseek,0.950,"Operator is M1 (local mutation/edit) per the routing policy, which selects deepseek for M1/M2 local edits.",True,-2089.400000,3910.600000,30,b9887147207d6fded38d448a5d2497ca03b5de629fd844f2bedead90f642f731,1772567799.870
201,M2,deepseek,0.970,"Operator is M2 (local mutation/edit) per routing policy, task involves modifying existing code's score function parameters.",True,-2095.400000,3904.600000,30,156199e2ff3101341ac42b5a37158a6c6bfe708dfcaa8e3b9b2f3b8c395ab7de,1772567807.062
202,M2,deepseek,0.980,"The operator is M2, a local mutation/edit, which aligns with the routing policy to select deepseek.",True,-2091.800000,3908.200000,30,61ad398bdf72d28037ff77bb9341be34c6507b3aa10e29252cbb4e2feae84dac,1772567813.971
203,E1,doubao,0.950,"Operator is E1, which is exploration/variant generation per the routing policy, so doubao is selected",True,-2114.400000,3885.600000,30,c62438a98e4bb77cb86542fd1eebdc91f02d4e8beb713534233483524d65f6c1,1772567828.720
204,E1,doubao,0.980,"Operator is E1 (exploration/variant generation) per the routing policy, so doubao is selected.",True,-2099.400000,3900.600000,30,e7efc08118b5c6aac0f5ff5f459cf154c679336723ac97eefc53bc46e5433993,1772567835.263
205,E2,qwen,0.980,"Operator is E2 (global restructure), which aligns with qwen's designated use case for global rewrites and restructuring per the routing policy.",True,-2090.400000,3909.600000,30,775f6ad2f57872853800a692f1579906ac832ee98e0d6fc9043e5dc642af440f,1772567883.117
206,E2,qwen,0.950,"The operator is E2 (global restructure), which aligns with qwen's strengths in restructuring and long-context handling for this task of creating a new algorithm from existing code implementations.",True,-2767.200000,3232.800000,30,335c0559bedccb79464ede7edc6841fd78dd185765f1c9a8502bbbc1baf5e888,1772567889.342
207,M1,deepseek,0.980,"Operator is M1, a local mutation/edit per the routing policy",True,-5000.000000,1000.000000,30,b440edba56f026c43304e707436122542afad40338e773753de5eecc3db0d429,1772567897.159
208,M1,deepseek,0.950,"Operator is M1 (local mutation/edit) per the routing policy, task involves modifying an existing code function as a local edit",True,-2099.400000,3900.600000,30,ab39fb6d0f2732b3b7b92e1aa2eda8bc9c3ab0c9ebc5ea5e9da0d29ad61641e3,1772567906.771
209,M2,deepseek,0.980,"Operator is M2 (local mutation/edit) per the routing policy, and the task involves modifying existing code's score parameters as a local edit.",True,-2122.200000,3877.800000,30,3963f08ecea2f0b76ca13fd4caeedefc9a37cad0d89c72d558782d2ec0991af4,1772567911.089
210,M2,deepseek,0.980,"Operator is M2, a local mutation/edit task matching the routing policy selecting deepseek for M1/M2 operations",True,-2100.000000,3900.000000,30,3963f08ecea2f0b76ca13fd4caeedefc9a37cad0d89c72d558782d2ec0991af4,1772567920.758
211,E1,doubao,0.950,"Operator is E1, which is exploration/variant generation per the routing policy",False,,5999.000000,30,bedc2024239f6fc19c8ce6f5cda51eaba997f09365e1c6567387c23738c0de93,1772567933.065
