step,operator,backend,backend_label,confidence,reason,policy_version,ok,score,reward,improve,prev_best,signals_json,prompt_sha256,time
163,UNKNOWN,doubao,C,0.150,epsilon_ucb_explore,2,True,-2091.800000,6.154406,999997908.200000,-1000000000.000000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724739.184
165,UNKNOWN,doubao,C,0.800,"Signals include operator=UNKNOWN, n_chars=630, code_density=0.16; backend C's low-cost fast exploration traits make it suitable for this straightforward code generation task.",2,True,-2091.800000,0.151581,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724759.439
165,UNKNOWN,doubao,C,0.800,"Signals include operator=UNKNOWN, no detected errors, small input size (630 chars) and low code density; C's strengths include fast exploration and low-cost code generation for straightforward new cod",2,True,-2091.800000,0.148896,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724775.583
167,UNKNOWN,doubao,C,0.800,"Signals include operator=UNKNOWN, has_error=false, small n_chars=630 with low code_density=0.16; backend C has strengths in fast exploration and low cost, ideal for this straightforward code generatio",2,True,-2091.800000,0.146352,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724806.101
167,UNKNOWN,deepseek,A,0.800,"Signals include has_error=false, small n_chars=630, low code_density=0.16, and strong prior mean scores for backend A. Backend A excels at local edits, making it suitable for implementing the requeste",2,True,-2099.400000,0.202790,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724813.227
169,UNKNOWN,doubao,C,0.150,epsilon_ucb_explore,2,True,-2091.800000,0.143412,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724827.772
168,UNKNOWN,doubao,C,0.150,epsilon_ucb_explore,2,True,-2091.800000,0.141137,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724828.457
171,UNKNOWN,doubao,C,0.800,"Signals include operator=UNKNOWN, has_error=false, small n_chars=630 and low code_density=0.16. Backend C specializes in fast, low-cost code generation for simple exploratory tasks, which aligns with ",2,True,-2091.800000,0.138969,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724859.852
171,UNKNOWN,doubao,C,0.800,"Key signals include operator=UNKNOWN, n_chars=630 (compact task size), has_error=false (no debugging required). Backend C specializes in fast, low-cost code generation for straightforward implementati",2,True,-2091.800000,0.136899,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724865.596
172,UNKNOWN,doubao,C,0.150,epsilon_ucb_explore,2,True,-2091.800000,0.134920,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772724875.676
