step,operator,backend,backend_label,confidence,reason,policy_version,ok,score,reward,improve,prev_best,signals_json,prompt_sha256,time
324,UNKNOWN,doubao,C,0.800,"operator=UNKNOWN with no prior failures, n_chars=630 is small so no need for long-context backend B, has_error=false so debugging-focused backend A is unnecessary, select C for fast low-cost code gene",2,True,-2095.200000,6.157751,999997904.800000,-1000000000.000000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084800.065
324,UNKNOWN,deepseek,A,0.900,"Operator is UNKNOWN, has_error=false, and n_chars=630 does not require long-context handling; backend A offers high reliability and strengths in local edits, ideal for this straightforward Python func",2,True,-2098.200000,6.198436,999997901.800000,-1000000000.000000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084800.867
326,UNKNOWN,doubao,C,0.900,"UNKNOWN operator with no catastrophic failure history, small input size suitable for fast exploration, task requires new code generation matching backend C's strengths in fast exploration and variant ",2,True,-2095.200000,0.155691,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084824.504
326,UNKNOWN,doubao,C,0.700,"Operator is UNKNOWN with no prior backend performance stats, n_chars is 630 (under 3000), code density is 0.16; backend C excels at fast exploration and code variant generation, fitting this code crea",2,True,-2095.200000,0.154321,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084833.266
327,UNKNOWN,doubao,C,0.150,epsilon_ucb_explore,2,True,-2095.200000,0.152987,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084836.783
329,UNKNOWN,doubao,C,0.800,"Operator is UNKNOWN with no prior backend performance data, has_error=false so no debugging support is needed, and n_chars=630 is a small context size; backend C’s strengths include fast, low-cost cod",2,True,-2095.200000,0.151687,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084860.846
329,UNKNOWN,doubao,C,0.800,"Operator is UNKNOWN with no prior performance stats for available backends, n_chars=630 <3000 and markers=4 <20, matching backend C's strengths of fast, low-cost code generation for new implementation",2,True,-2095.200000,0.150421,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084866.475
331,UNKNOWN,doubao,C,0.850,"Signals: operator=UNKNOWN, n_chars=630 <3000, markers=4 <20; Profile trait: Backend C provides low-cost fast code generation suited for small-scale programming tasks.",2,True,-2095.200000,0.149186,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084893.802
332,UNKNOWN,doubao,C,0.900,"Operator is UNKNOWN, n_chars=630 (small file size), markers=4; backend C provides low-cost, fast code generation suited for this straightforward task with no debugging needed.",2,True,-5000.000000,-2.039463,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084910.400
333,UNKNOWN,deepseek,A,0.900,"Signals include no existing errors (has_error=false, fix_score=0), short input length (n_chars=630) not requiring long-context processing, and low marker count; backend A excels at local code edits an",2,True,-2095.200000,0.200003,0.000000,-2095.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1773084929.735
