step,operator,backend,backend_label,confidence,reason,policy_version,ok,score,reward,signals_json,prompt_sha256,time
55,UNKNOWN,deepseek,deepseek,0.900,Operator is UNKNOWN with prior stats showing deepseek has a superior mean score vs doubao and matching qwen; code density is 0.16 (low <0.3) which favors deepseek per scoring weights; short n_chars (6,7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656288.063
55,UNKNOWN,doubao,doubao,0.600,"Operator is UNKNOWN, n_chars=630 (<1200) which grants the length bonus for doubao, doubao holds the highest prior mean score for UNKNOWN operator with 0 failure rate, and benefits from low cost weight",7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656316.437
58,UNKNOWN,doubao,doubao,0.500,Operator is UNKNOWN with prior stats showing doubao has the highest mean score (-2091.80) across all backends; n_chars=630 <1200 which grants the w_len +6 bonus for doubao; low cost of doubao provides,7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656535.153
59,UNKNOWN,deepseek,deepseek,0.900,"code_density=0.16 <0.5 which triggers the tie-breaking rule to prefer deepseek, operator=UNKNOWN with available prior performance stats, has_error=false indicating no debugging needed, and short n_cha",7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656572.731
60,UNKNOWN,doubao,doubao,0.600,Operator is UNKNOWN with prior stats showing doubao has the highest mean score for this operator; n_chars=630 <1200 grants a +6 w_len bonus to doubao; low code density (0.16) adds +5 to deepseek but o,7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656587.950
61,UNKNOWN,deepseek,deepseek,0.200,Code density (0.16) is less than 0.3 which favors deepseek via the w_density scoring weight; score difference between backends is <4 leading to low confidence; tie-breaking rule applies as code densit,7,True,-3734.800000,2265.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656614.403
63,UNKNOWN,deepseek,deepseek,0.900,"Code density (0.16) is less than 0.5 triggering deepseek preference per tie-breaking rules; operator is UNKNOWN with all backends having 0 failure rates, and deepseek has high reliability; short code ",7,True,-2095.400000,3904.600000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656650.015
64,UNKNOWN,doubao,doubao,0.500,"Operator is UNKNOWN, doubao has the highest prior mean score (-2091.80) for UNKNOWN operator; n_chars=630 <1200 which favors doubao per w_len weight; has_error=false grants +2 to all backends, and dou",7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656694.680
64,UNKNOWN,doubao,doubao,0.600,Operator is UNKNOWN with prior statistics showing doubao has the highest mean performance score for this operator; n_chars=630 <1200 granting the length-based bonus for doubao; has_error=false with no,7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656701.103
66,UNKNOWN,deepseek,deepseek,0.200,"Key signals include code_density=0.16 <0.5, operator=UNKNOWN, n_chars=630 <1200. Tie-breaking rule prefers deepseek due to low code density, deepseek has high reliability bonus and benefited from w_de",7,True,-2091.800000,3908.200000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772656735.789
