step,operator,backend,backend_label,confidence,reason,policy_version,ok,score,reward,improve,prev_best,signals_json,prompt_sha256,time
54,UNKNOWN,deepseek,A,0.960,"Operator is UNKNOWN, n_chars=630 is less than 800, code_density=0.16 is below 0.2; per routing policy, strongly prefer backend A for short, sparse unknown tasks, and A has high reliability for such ta",3,True,-2091.800000,2.525114,999997908.200000,-1000000000.000000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714165.222
55,UNKNOWN,deepseek,A,0.950,"UNKNOWN operator, n_chars=630 <800, code_density=0.16 <0.2, and A has high reliability for short, sparse code generation tasks",3,True,-2091.800000,2.492795,999997908.200000,-1000000000.000000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714186.769
56,UNKNOWN,deepseek,A,0.150,epsilon_ucb_explore,3,True,-5000.000000,-6.139219,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714258.248
58,UNKNOWN,doubao,C,0.150,epsilon_ucb_explore,3,True,-2091.800000,0.582380,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714319.516
58,UNKNOWN,deepseek,A,0.950,"Operator is UNKNOWN, n_chars=630 <800, code_density=0.16 <0.2, which triggers the new routing policy to strongly prefer backend A which excels at reliable short, sparse coding tasks",3,True,-2091.800000,0.555709,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714331.568
59,UNKNOWN,deepseek,A,0.950,"Operator is UNKNOWN, n_chars=630 <800, code_density=0.16 <0.2; A has high reliability and is optimized for short, sparse code generation tasks.",3,True,-2095.400000,0.529005,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714348.775
60,UNKNOWN,deepseek,A,0.950,"Operator is UNKNOWN, n_chars=630 <800, code_density=0.16 <0.2, triggering the routing policy's new rule to strongly prefer A; A's high reliability is optimal for this short, sparse code generation tas",3,True,-2091.800000,0.512608,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714367.803
61,UNKNOWN,deepseek,A,0.940,"Operator is UNKNOWN, n_chars=630 <800, code_density=0.16 <0.2 which triggers the strong preference for backend A; A has high reliability for short, sparse code generation tasks.",3,True,-2092.800000,0.493524,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714380.977
62,UNKNOWN,deepseek,A,0.970,"Operator is UNKNOWN, n_chars <800, code_density <0.2; backend A has high reliability and is strongly preferred for short, sparse UNKNOWN tasks per the routing policy.",3,True,-2091.800000,0.478481,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714395.109
63,UNKNOWN,deepseek,A,0.950,"Operator is UNKNOWN, n_chars=630 <800, code_density=0.16 <0.2; Backend A has high reliability for short, sparse coding tasks.",3,True,-2095.400000,0.459831,0.000000,-2091.800000,"{""operator"": ""UNKNOWN"", ""n_chars"": 630, ""n_lines"": 15, ""code_density"": 0.16, ""has_error"": false, ""fix_score"": 0, ""explore_score"": 0, ""markers"": 4}",07e26d7ea29742f86de3328b60a6d869b4f07c2b4197ace85bd8d8e09b537e90,1772714409.063
